GREK 1013,Beginning Classical Greek 1,For students with no previous knowledge of Greek. Introduces basic grammar and vocabulary.
GREK 1023,Beginning Classical Greek 2,Completes the presentation of grammar and introduces reading of literature. 
GREK 3013,Readings in the Greek New Testament and Septuagint,Readings in ancient (koine) Greek from the New Testament and the Septuagint. Students aim to achieve fluency in reading and to enrich their knowledge of key terms and ideas borrowed from the Greek past in the early Christian tradition. Formerly CLAS 3013.
GREK 3113,Intermediate Classical Greek 1,"Reading of selected prose texts of authors in ancient Greek such as Plato, Xenophon, Lysias, and selections from the Greek New Testament. Incorporates review of grammar. "
GREK 3123,Intermediate Classical Greek 2,"Reading of selections from Homer or a Greek tragedy in ancient Greek, with attention to literary form and context as well as advanced grammar and syntax. "
GREK 4013,Topics in Greek Prose,"Author or topic in ancient Greek specified in the online Schedule Planner (e.g., Thucydides, Herodotus, Plato, Aristotle, Attic Orators). "
GREK 4023,Topics in Greek Poetry,"Author or topic in ancient Greek specified in the online Schedule Planner (e.g., Homer, Hesiod, lyric poetry, tragedy, comedy). "
GREK 4093,Survey of Greek Literature,Greek literary history in ancient Greek from Homer to the Hellenistic age. 
GREK 4843,Independent Study,
GREK 5013,Topics in Greek Prose,"Author or topic in ancient Greek specified in the online Schedule Planner (e.g., Thucydides, Herodotus, Plato, Aristotle, Attic Orators). "
GREK 5023,Topics in Greek Poetry,"Author or topic in ancient Greek specified in the online Schedule Planner (e.g., Homer, Hesiod, lyric poetry, tragedy, comedy). "
GREK 5093,Survey of Greek Literature,Greek literary history in ancient Greek from Homer to the Hellenistic age. 
GREK 6003,Graduate Reading,Author or topic specified in the online Schedule Planner. 
GREK 6843,Graduate Independent Study,
GREK 7013,Graduate Seminar in Greek Literature,
